X: 888-975
Predict()
Q[i,i] =10 MX = 3,453125 SDX = 2,42982565925521 Max=10
Q[i,i] =113 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =114 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =115 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =116 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =117 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =118 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =119 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =120 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =121 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =122 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =123 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =124 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =125 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =126 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =127 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =128 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =129 MX = 3,390625 SDX = 2,47245568400629 Max=10
Q[i,i] =130 MX = 3,390625 SDX = 2,47245568400629 Max=10
Q[i,i] =131 MX = 3,390625 SDX = 2,47245568400629 Max=10
Q[i,i] =132 MX = 3,40625 SDX = 2,51071920721932 Max=10
Q[i,i] =133 MX = 3,40625 SDX = 2,51071920721932 Max=10
Q[i,i] =134 MX = 3,40625 SDX = 2,51071920721932 Max=10
Q[i,i] =135 MX = 3,40625 SDX = 2,51071920721932 Max=10
Q[i,i] =136 MX = 3,40625 SDX = 2,51071920721932 Max=10
Q[i,i] =137 MX = 3,4375 SDX = 2,48668328300972 Max=10
Q[i,i] =138 MX = 3,4375 SDX = 2,48668328300972 Max=10
Q[i,i] =139 MX = 3,4375 SDX = 2,48668328300972 Max=10
Q[i,i] =140 MX = 3,4375 SDX = 2,48668328300972 Max=10
Q[i,i] =141 MX = 3,4375 SDX = 2,48668328300972 Max=10
Q[i,i] =142 MX = 3,4375 SDX = 2,48668328300972 Max=10
Q[i,i] =143 MX = 3,4375 SDX = 2,48668328300972 Max=10
Q[i,i] =144 MX = 3,4375 SDX = 2,48668328300972 Max=10
Q[i,i] =145 MX = 3,4375 SDX = 2,48668328300972 Max=10
Q[i,i] =146 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =147 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =148 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =149 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =150 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =151 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =152 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =153 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =154 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =155 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =156 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =157 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =158 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =159 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =160 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =161 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =162 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =163 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =164 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =165 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =166 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =167 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =168 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =169 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =170 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =171 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =172 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =173 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =174 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =175 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =176 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =177 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =178 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =179 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =180 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =181 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =182 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =183 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =184 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =185 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =186 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =187 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =188 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =189 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =190 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =191 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =192 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =193 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =194 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =195 MX = 3,40625 SDX = 2,46677135898324 Max=10
Q[i,i] =196 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =197 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =198 MX = 3,421875 SDX = 2,47994888745212 Max=10
Q[i,i] =199 MX = 3,421875 SDX = 2,47994888745212 Max=10
